id,altura,cidade,cpf,estado,idade,nome,peso,sexo,signo,profissao,renda,tempo_carteira_assinada,estado_civil,score,inadimplente
1,1.66,Palmas,542.640.260-40,TO,40,Luís Tomás Alves,64,Masculino,Câncer,Ajudante de derrubada,1367,36,Solteiro,441,0
2,1.52,São Luís,249.992.900-65,MA,27,Letícia Daiane Fernandes,84,Feminino,Sagitário,Auxiliar de laboratório de análises clínicas,1489,44,Casado,503,0
3,1.68,Salvador,123.198.244-64,BA,76,Marli Rosa Assis,51,Feminino,Leão,Atendente de agência,1946,31,Solteiro,426,1
4,1.73,Macapá,387.287.336-90,AP,52,Giovanni Nelson Mendes,52,Masculino,Câncer,Carapina,1876,54,Casado,989,0
5,1.75,Garanhuns,685.442.246-95,PE,35,Heloisa Isabelle da Rocha,55,Feminino,Touro,Asfaltador na conservação de vias permanentes,1196,40,Viúvo,874,0
7,1.64,Imperatriz,178.338.910-96,MA,26,Benício Marcos Vinicius Elias Melo,105,Masculino,Escorpião,Alfeloeiro,1444,11,Divorciado,952,0
8,1.73,Nossa Senhora de Lourdes,178.582.093-10,SE,58,Daiane Maitê Aparício,70,Feminino,Sagitário,Motorista de ônibus urbano,1621,29,Divorciado,731,0
9,1.82,Manaus,226.749.738-70,AM,75,César Leonardo Brito,81,Masculino,Escorpião,Jardineiro,1540,38,Solteiro,661,0
10,1.6,Guarapari,489.569.197-71,ES,25,Igor Enrico Moura,73,Masculino,Gêmeos,Motorista de empilhadeira,1397,24,Viúvo,638,0
11,1.73,Várzea Grande,7126.730-34,MT,74,Melissa Antônia Ayla Dias,50,Feminino,Libra,Encarregado de supermercado,4279,31,Solteiro,385,1
12,1.76,Porto Velho,756.852.764-60,RO,64,Rodrigo Victor Caio Silva,78,Masculino,Sagitário,Agente administrativo,1982,4,Solteiro,622,0
13,1.68,Guarapari,848.694.980-73,ES,29,Olivia Tânia Sales,53,Feminino,Aquário,Trabalhador polivalente da confecção de calçados,988,3,Divorciado,879,0
14,1.73,Caxias do Sul,549.304.853-12,RS,43,Edson Bento da Costa,50,Masculino,Escorpião,Administrador,3811,36,Divorciado,168,1
15,2,Campo Grande,022.315.540-38,MS,37,Heitor Márcio Fernando Cardoso,77,Masculino,Câncer,Carapina,2067,4,Casado,330,1
16,1.58,Tefé,912.2086-60,AM,59,Camila Stefany Corte Real,47,Feminino,Áries,Ajudante de farmácia,1501,42,Casado,271,1
17,1.67,Eunápolis,301.945.792-04,BA,70,Vicente Luís Araújo,106,Masculino,Áries,Asfaltador na conservação de vias permanentes,974,18,Viúvo,660,0
18,1.67,São Paulo,121.684.479-85,SP,79,Laura Luciana Aline Costa,47,Feminino,Câncer,Almoxarife,1688,36,Solteiro,533,0
19,1.67,Ponta Porã,956.754.485-94,MS,19,Elza Marlene Ester da Rocha,74,Feminino,Peixes,Auxiliar de faturamento,1685,57,Divorciado,741,0
20,1.83,Rio Branco,089.379.435-06,AC,19,Joana Alessandra Evelyn Porto,65,Feminino,Leão,Analista de cobrança,1073,36,Casado,329,1
21,1.96,Criciúma,014.293.321-07,SC,33,Juan Geraldo Anderson Freitas,72,Masculino,Virgem,Encarregado de padaria,1775,18,Casado,427,1
22,1.93,Boa Vista,418.055.531-00,RR,39,Gustavo Benjamin Rezende,106,Masculino,Leão,Chanfrador de calçados,1453,47,Solteiro,326,1
23,1.72,Maceió,188.349.483-43,AL,59,Raul Sérgio Mendes,101,Masculino,Touro,Representante técnico de vendas,3514,35,Divorciado,438,1
24,1.52,São Gonçalo,041.333.461-90,RJ,58,Nair Alícia Giovanna Mendes,89,Feminino,Câncer,Atendente de buffet,1147,14,Solteiro,630,0
25,1.61,Ariquemes,012.159.298-70,RO,31,Isabela Nina Rafaela de Paula,68,Feminino,Peixes,Desenhista de editorial,2998,38,Solteiro,331,1
26,1.62,Boa Vista,694.528.573-15,RR,29,Marcos Vinicius Yago Otávio Jesus,81,Masculino,Escorpião,Armador de estrutura de concreto,1939,31,Divorciado,319,1
27,1.55,São Luís,899.546.798-39,MA,71,Andrea Mariah Sophia Jesus,81,Feminino,Aquário,Enfermeiro,3612,39,Solteiro,227,1
28,1.87,Rio Claro,906.458.780-90,SP,28,Matheus Vinicius Moraes,66,Masculino,Capricórnio,Assistente de serviço de contabilidade,2189,27,Viúvo,607,0
29,1.81,Santa Cruz do Sul,793.467.357-40,RS,25,Heitor Anthony Ricardo de Paula,61,Masculino,Touro,Operador de teleatendimento híbrido,1118,33,Casado,336,1
30,1.84,São Luís,075.504.276-07,MA,39,Daniel Benedito Cauê Martins,97,Masculino,Áries,Analista de logística de transporte,2091,33,Casado,666,0
31,1.69,Brasília,976.429.333-63,DF,60,Roberto Augusto Ricardo Moraes,92,Masculino,Câncer,Caixa de banco,1914,28,Solteiro,603,0
32,1.61,Fortaleza,477.171.437-12,CE,44,Márcia Yasmin Eduarda da Cunha,77,Feminino,Leão,Adegueiro,1692,56,Divorciado,247,1
33,1.75,Santana,255.551.729-40,AP,77,Victor Augusto Miguel da Paz,82,Masculino,Sagitário,Nutricionista,2408,56,Solteiro,695,0
34,1.66,Maracajá,922.671.383-95,SC,20,Roberto Manoel Fogaça,57,Masculino,Sagitário,Ajudante de carga e descarga de mercadoria,1081,51,Solteiro,734,0
35,1.78,Uruguaiana,407.196.896-60,RS,40,Murilo Severino Cláudio Gomes,52,Masculino,Áries,Gerente administrativo,4276,8,Solteiro,654,0
36,1.61,Curitiba,734.463.808-84,PR,60,Isaac Erick Almeida,81,Masculino,Leão,Ajudante de churrasqueiro,1007,12,Casado,715,0
37,1.8,Araguaína,361.959.508-90,TO,70,Francisca Alessandra Luciana dos Santos,88,Feminino,Capricórnio,Professor das séries iniciais,2187,42,Casado,476,0
39,1.73,Campina Grande,371.036.702-69,PB,58,Hadassa Ana Joana Duarte,66,Feminino,Leão,Promotor de vendas,1582,18,Divorciado,501,0
40,1.62,Porto Velho,097.593.361-20,RO,67,Enzo Mário Luís Nascimento,51,Masculino,Sagitário,Pintor de estruturas metálicas,1905,27,Casado,412,1
41,1.61,São Luís,091.453.920-56,MA,24,Renato Márcio Lorenzo da Conceição,102,Masculino,Áries,Guest relations,1668,9,Solteiro,550,1
43,1.82,Maceió,750.371.444-18,AL,42,Luís Thales Elias Bernardes,54,Masculino,Aquário,Nutricionista,3010,33,Casado,200,0
44,1.7,Teixeira de Freitas,157.798.935-00,BA,71,Diogo Julio das Neves,108,Masculino,Aquário,Ajudante de embalador,953,57,Divorciado,475,1
45,1.6,Boa Vista,617.440.266-53,RR,50,Malu Carolina Fabiana Silveira,72,Feminino,Virgem,Agente de vendas de serviços,1569,30,Solteiro,339,1
47,1.98,Planaltina,725.692.256-65,GO,48,Renan Pedro da Luz,62,Masculino,Aquário,Ajudante de pintor,1361,19,Divorciado,391,1
48,1.5,Poços de Caldas,295.014.853-07,MG,21,Evelyn Marina Flávia Baptista,72,Feminino,Touro,Ajudante de obras,997,22,Casado,204,1
49,1.63,Imperatriz,032.353.434-15,MA,80,Lucca Igor Bernardes,70,Masculino,Gêmeos,Gesseiro,1594,38,Divorciado,661,0
50,1.51,Fortaleza,078.493.139-92,CE,45,Clara Yasmin Nicole Drumond,45,Feminino,Peixes,Ajustador de máquinas de embalagem,2571,18,Casado,594,0
51,1.75,Rio Branco,488.690.493-96,AC,70,Sebastiana Rayssa Assunção,62,Feminino,Virgem,Ajudante de carga e descarga de mercadoria,1292,28,Casado,275,1
53,1.76,Olinda,004.774.442-10,PE,67,Elias Edson Galvão,110,Masculino,Câncer,Montador soldador,2164,6,Divorciado,257,1
54,1.75,Boa Vista,744.256.151-90,RR,38,Eliane Alice Brenda Monteiro,83,Feminino,Leão,Atendente de creche,1378,36,Divorciado,802,0
55,1.64,Castanhal,015.992.953-93,PA,79,Leonardo Paulo Breno Araújo,108,Masculino,Áries,Operador de máquina de terraplenagem,1825,45,Divorciado,358,1
56,1.56,Macapá,516.548.461-04,AP,38,Giovanna Jaqueline Maya Fogaça,51,Feminino,Câncer,Gari,1405,4,Casado,644,0
